startNode,endNode,relationship,time,amount,AT
ACC:1,A234,Withdraws-AT,2023-06-11,911.75,ACC:1
startNode,endNode,relationship,time,amount,AT
ACC:2,A570,Withdraws-AT,2023-09-14,964.01,ACC:2
startNode,endNode,relationship,time,amount,AT
ACC:3,A62,Withdraws-AT,2022-11-18,418.39,ACC:3
startNode,endNode,relationship,time,amount,AT
ACC:4,A40,Withdraws-AT,2024-03-14,322.92,ACC:4
startNode,endNode,relationship,time,amount,AT
ACC:5,A453,Withdraws-AT,2023-04-14,227.3,ACC:5
startNode,endNode,relationship,time,amount,AT
ACC:6,A508,Withdraws-AT,2023-03-31,402.22,ACC:6
startNode,endNode,relationship,time,amount,AT
ACC:7,A98,Withdraws-AT,2020-07-15,573.67,ACC:7
startNode,endNode,relationship,time,amount,AT
ACC:8,A67,Withdraws-AT,2020-12-11,892.77,ACC:8
startNode,endNode,relationship,time,amount,AT
ACC:9,A45,Withdraws-AT,2023-03-29,308.7,ACC:9
startNode,endNode,relationship,time,amount,AT
ACC:10,A29,Withdraws-AT,2021-01-09,72.59,ACC:10
startNode,endNode,relationship,time,amount,AT
ACC:11,A482,Withdraws-AT,2023-12-15,186.0,ACC:11
startNode,endNode,relationship,time,amount,AT
ACC:12,A300,Withdraws-AT,2023-06-15,445.52,ACC:12
startNode,endNode,relationship,time,amount,AT
ACC:13,A22,Withdraws-AT,2025-11-16,129.53,ACC:13
startNode,endNode,relationship,time,amount,AT
ACC:14,A290,Withdraws-AT,2021-02-16,382.07,ACC:14
startNode,endNode,relationship,time,amount,AT
ACC:15,A243,Withdraws-AT,2025-07-31,274.9,ACC:15
startNode,endNode,relationship,time,amount,AT
ACC:16,A41,Withdraws-AT,2024-07-25,606.04,ACC:16
startNode,endNode,relationship,time,amount,AT
ACC:17,A330,Withdraws-AT,2020-12-12,19.03,ACC:17
startNode,endNode,relationship,time,amount,AT
ACC:18,A532,Withdraws-AT,2025-09-12,19.73,ACC:18
startNode,endNode,relationship,time,amount,AT
ACC:19,A426,Withdraws-AT,2020-04-13,408.25,ACC:19
startNode,endNode,relationship,time,amount,AT
ACC:20,A283,Withdraws-AT,2021-01-30,227.71,ACC:20
