bankID,location,code,branchCount,founded
B:1,USA,SWIFT6403,28,1931
B:2,Germany,SWIFT2848,179,1927
B:3,Germany,SWIFT6510,394,1928
B:4,USA,SWIFT5752,436,1963
B:5,France,SWIFT6171,254,2022
B:6,USA,SWIFT9012,260,1806
B:7,Germany,SWIFT2092,131,1811
B:8,France,SWIFT1584,63,1849
B:9,USA,SWIFT4868,142,1895
B:10,USA,SWIFT9355,40,1917
B:11,UK,SWIFT9144,182,1975
B:12,Germany,SWIFT2447,13,1936
B:13,Germany,SWIFT3567,231,1837
B:14,UK,SWIFT2129,370,1938
B:15,France,SWIFT5649,304,1961
B:16,Germany,SWIFT1700,176,1998
B:17,USA,SWIFT4298,194,1801
B:18,France,SWIFT8352,304,1912
B:19,Germany,SWIFT8324,312,1977
B:20,USA,SWIFT5639,42,1828
B:21,USA,SWIFT3996,233,1880
B:22,USA,SWIFT4183,365,1886
B:23,USA,SWIFT4214,231,1808
B:24,France,SWIFT2357,139,2001
B:25,UK,SWIFT8897,364,1820
B:26,Germany,SWIFT5770,404,1827
B:27,Germany,SWIFT8640,331,1945
B:28,Germany,SWIFT1540,24,1967
B:29,UK,SWIFT4673,16,1987
B:30,USA,SWIFT5813,317,2008
B:31,Germany,SWIFT4082,63,1862
B:32,France,SWIFT6339,464,2011
B:33,USA,SWIFT7473,157,1889
B:34,Germany,SWIFT8785,388,1949
B:35,USA,SWIFT5928,180,1832
B:36,UK,SWIFT9310,293,1889
B:37,France,SWIFT1965,62,1830
B:38,USA,SWIFT4804,153,1924
B:39,France,SWIFT8920,36,1924
B:40,Germany,SWIFT1774,469,1909
B:41,UK,SWIFT5879,353,1900
B:42,USA,SWIFT1125,136,2020
B:43,France,SWIFT1600,138,2021
B:44,UK,SWIFT9627,452,1869
B:45,Germany,SWIFT6658,131,1951
B:46,France,SWIFT5099,497,1885
B:47,France,SWIFT8840,368,1909
B:48,France,SWIFT8887,83,1813
B:49,Germany,SWIFT2191,191,1819
B:50,USA,SWIFT8675,344,1987
B:51,Germany,SWIFT1268,189,1911
B:52,UK,SWIFT2354,333,1962
B:53,Germany,SWIFT6286,65,1913
B:54,Germany,SWIFT6967,122,1867
B:55,France,SWIFT5178,195,1826
B:56,France,SWIFT8290,458,1910
B:57,UK,SWIFT3915,311,1897
B:58,UK,SWIFT2545,310,1802
B:59,France,SWIFT1106,210,1958
B:60,France,SWIFT8162,95,1895
B:61,France,SWIFT8193,348,1874
B:62,Germany,SWIFT9314,455,1863
B:63,Germany,SWIFT6882,252,2018
B:64,France,SWIFT5651,7,1990
B:65,France,SWIFT4780,234,1952
B:66,Germany,SWIFT5086,295,1869
B:67,Germany,SWIFT9177,493,1871
B:68,UK,SWIFT2290,322,1856
B:69,France,SWIFT7097,276,1913
B:70,UK,SWIFT3088,178,1872
B:71,USA,SWIFT9692,28,1953
B:72,UK,SWIFT9611,342,1843
B:73,USA,SWIFT8487,497,1910
B:74,USA,SWIFT9326,429,2001
B:75,Germany,SWIFT6176,39,2011
B:76,Germany,SWIFT7758,75,1840
B:77,Germany,SWIFT6606,182,2020
B:78,UK,SWIFT3440,220,1827
B:79,France,SWIFT7138,226,1927
B:80,France,SWIFT6492,136,1818
B:81,Germany,SWIFT6229,163,1826
B:82,France,SWIFT6592,228,1944
B:83,USA,SWIFT7784,427,1892
B:84,Germany,SWIFT3280,45,1926
B:85,USA,SWIFT9487,248,1970
B:86,USA,SWIFT6714,313,2005
B:87,UK,SWIFT9276,49,1992
B:88,Germany,SWIFT8158,31,1807
B:89,Germany,SWIFT1786,200,1983
B:90,Germany,SWIFT7334,165,1860
B:91,USA,SWIFT5495,124,1953
B:92,France,SWIFT6205,475,1831
B:93,UK,SWIFT8017,1,1906
B:94,USA,SWIFT5725,235,1932
B:95,Germany,SWIFT7092,393,1922
B:96,USA,SWIFT6139,375,1985
B:97,Germany,SWIFT3160,145,1919
B:98,UK,SWIFT3599,454,1850
B:99,UK,SWIFT5127,401,2016
B:100,USA,SWIFT3658,493,1999
B:101,USA,SWIFT6138,76,1888
B:102,UK,SWIFT1851,31,1993
B:103,France,SWIFT1958,444,2020
B:104,UK,SWIFT9440,54,1974
B:105,France,SWIFT1742,365,1995
B:106,USA,SWIFT4493,160,1978
B:107,USA,SWIFT7562,405,1932
B:108,USA,SWIFT3340,350,1882
B:109,UK,SWIFT7640,224,1881
B:110,France,SWIFT2009,350,1812
B:111,France,SWIFT3632,184,1825
B:112,Germany,SWIFT9145,313,1900
B:113,Germany,SWIFT4095,463,1900
B:114,France,SWIFT5313,140,1802
B:115,USA,SWIFT5462,480,1932
B:116,Germany,SWIFT6982,342,1981
B:117,France,SWIFT6119,116,1836
B:118,Germany,SWIFT8387,435,1973
B:119,Germany,SWIFT9270,106,1985
B:120,USA,SWIFT3592,149,1973
B:121,France,SWIFT1766,292,1991
B:122,USA,SWIFT5258,214,1806
B:123,UK,SWIFT1586,474,1971
B:124,France,SWIFT5165,8,1987
B:125,UK,SWIFT6928,174,2022
B:126,Germany,SWIFT3404,278,1975
B:127,France,SWIFT9659,27,1826
B:128,Germany,SWIFT7552,193,1880
B:129,Germany,SWIFT7993,446,1839
B:130,Germany,SWIFT8211,491,1915
B:131,USA,SWIFT2937,168,1868
B:132,USA,SWIFT7525,268,1865
B:133,UK,SWIFT6634,315,1809
B:134,France,SWIFT4087,329,1904
B:135,France,SWIFT7124,494,1922
B:136,Germany,SWIFT8505,215,1881
B:137,Germany,SWIFT4696,71,2019
B:138,USA,SWIFT3882,480,1926
B:139,France,SWIFT8375,211,1898
B:140,Germany,SWIFT8545,492,1893
B:141,France,SWIFT9464,482,1892
B:142,UK,SWIFT2998,457,1921
B:143,Germany,SWIFT1974,249,1985
B:144,UK,SWIFT3267,452,2018
B:145,France,SWIFT3942,407,1905
B:146,USA,SWIFT3416,240,1821
B:147,France,SWIFT3193,337,1817
B:148,USA,SWIFT2684,199,1824
B:149,Germany,SWIFT8132,306,1947
B:150,France,SWIFT3115,134,1991
B:151,Germany,SWIFT3104,405,1921
B:152,France,SWIFT1241,442,1911
B:153,USA,SWIFT8665,358,1890
B:154,USA,SWIFT5586,462,1893
B:155,USA,SWIFT4937,293,1893
B:156,USA,SWIFT3726,223,1942
B:157,France,SWIFT9289,484,1934
B:158,France,SWIFT2006,301,1856
B:159,Germany,SWIFT8564,312,2021
B:160,UK,SWIFT7544,11,1989
B:161,UK,SWIFT4471,242,1953
B:162,UK,SWIFT8710,307,2013
B:163,France,SWIFT2538,400,2014
B:164,UK,SWIFT2986,242,1992
B:165,France,SWIFT5231,300,1920
B:166,UK,SWIFT9406,382,1852
B:167,Germany,SWIFT7631,155,1964
B:168,USA,SWIFT8981,474,1922
B:169,UK,SWIFT1536,242,1973
B:170,UK,SWIFT1085,19,1805
B:171,Germany,SWIFT1230,400,1993
B:172,UK,SWIFT3960,329,1956
B:173,UK,SWIFT6493,39,1891
B:174,UK,SWIFT5746,232,1814
B:175,USA,SWIFT5432,287,1996
B:176,USA,SWIFT7510,55,2012
B:177,UK,SWIFT3581,100,1910
B:178,France,SWIFT5123,450,1909
B:179,UK,SWIFT9812,67,1987
B:180,France,SWIFT1465,167,1950
B:181,France,SWIFT8582,48,1997
B:182,UK,SWIFT3670,452,1878
B:183,Germany,SWIFT3420,147,1897
B:184,UK,SWIFT9561,27,1923
B:185,UK,SWIFT3948,214,1901
B:186,UK,SWIFT8090,136,1968
B:187,France,SWIFT9164,273,1918
B:188,Germany,SWIFT4579,77,1984
B:189,USA,SWIFT9328,286,1875
B:190,France,SWIFT3517,171,1974
B:191,Germany,SWIFT5609,349,1981
B:192,UK,SWIFT6809,233,1983
B:193,Germany,SWIFT4203,475,1810
B:194,USA,SWIFT5367,318,1836
B:195,Germany,SWIFT2205,323,1923
B:196,USA,SWIFT6440,145,1810
B:197,France,SWIFT9103,236,1937
B:198,Germany,SWIFT5453,372,1888
B:199,France,SWIFT6492,362,1917
B:200,USA,SWIFT6816,448,2001
B:201,UK,SWIFT2741,240,1949
B:202,Germany,SWIFT5809,238,1832
