deviceID,type,os,ip,location
D:1,Laptop,iOS,192.168.144.82,NYC
D:2,Mobile,Android,192.168.19.105,Miami
D:3,Laptop,Windows,192.168.40.246,LA
D:4,Laptop,Windows,192.168.47.226,NYC
D:5,Mobile,MacOS,192.168.241.162,LA
D:6,Laptop,MacOS,192.168.19.183,Miami
D:7,Tablet,Windows,192.168.43.151,Miami
D:8,Mobile,iOS,192.168.26.127,Miami
D:9,Mobile,Windows,192.168.199.172,LA
D:10,Mobile,MacOS,192.168.160.227,NYC
D:11,Tablet,Windows,192.168.129.126,NYC
D:12,Tablet,iOS,192.168.232.59,Chicago
D:13,Tablet,Windows,192.168.246.85,Chicago
D:14,Mobile,MacOS,192.168.90.112,LA
D:15,Laptop,Android,192.168.176.15,LA
D:16,Tablet,Windows,192.168.65.157,Chicago
D:17,Mobile,iOS,192.168.106.193,LA
D:18,Mobile,Windows,192.168.246.4,NYC
D:19,Tablet,Android,192.168.174.190,LA
D:20,Laptop,iOS,192.168.82.223,LA
D:21,Tablet,iOS,192.168.97.228,NYC
D:22,Tablet,iOS,192.168.249.126,Miami
D:23,Mobile,Android,192.168.175.186,LA
D:24,Tablet,Windows,192.168.200.17,NYC
D:25,Tablet,MacOS,192.168.10.162,Miami
D:26,Laptop,Android,192.168.138.45,Miami
D:27,Tablet,iOS,192.168.97.109,NYC
D:28,Laptop,iOS,192.168.40.52,NYC
D:29,Mobile,Android,192.168.28.81,Miami
D:30,Tablet,Windows,192.168.81.247,LA
D:31,Mobile,MacOS,192.168.6.81,NYC
D:32,Mobile,Android,192.168.188.217,NYC
D:33,Laptop,iOS,192.168.165.84,LA
D:34,Laptop,iOS,192.168.59.56,NYC
D:35,Mobile,Android,192.168.95.50,Chicago
D:36,Laptop,MacOS,192.168.133.190,Chicago
D:37,Mobile,MacOS,192.168.114.12,LA
D:38,Tablet,iOS,192.168.111.69,Miami
D:39,Mobile,iOS,192.168.252.14,NYC
D:40,Laptop,Android,192.168.249.115,Miami
D:41,Mobile,MacOS,192.168.186.75,NYC
D:42,Tablet,MacOS,192.168.254.222,NYC
D:43,Laptop,iOS,192.168.200.38,NYC
D:44,Laptop,MacOS,192.168.7.240,Chicago
D:45,Laptop,MacOS,192.168.58.237,NYC
D:46,Laptop,iOS,192.168.166.126,NYC
D:47,Laptop,iOS,192.168.237.19,LA
D:48,Mobile,iOS,192.168.72.255,LA
D:49,Laptop,Android,192.168.16.240,Miami
D:50,Mobile,iOS,192.168.105.120,Miami
D:51,Laptop,MacOS,192.168.79.123,NYC
D:52,Tablet,Windows,192.168.171.244,NYC
D:53,Tablet,Android,192.168.220.15,LA
D:54,Mobile,Windows,192.168.50.228,NYC
D:55,Tablet,MacOS,192.168.66.103,Chicago
D:56,Tablet,Android,192.168.23.155,Chicago
D:57,Mobile,iOS,192.168.242.189,Miami
D:58,Laptop,Windows,192.168.129.211,Miami
D:59,Mobile,iOS,192.168.3.18,Miami
D:60,Laptop,Android,192.168.60.22,Chicago
D:61,Tablet,Windows,192.168.213.12,LA
D:62,Laptop,MacOS,192.168.35.140,LA
D:63,Laptop,Windows,192.168.56.65,NYC
D:64,Mobile,Windows,192.168.85.171,Chicago
D:65,Laptop,Android,192.168.128.143,Chicago
D:66,Laptop,Android,192.168.198.33,Chicago
D:67,Tablet,Android,192.168.198.237,Chicago
D:68,Tablet,Android,192.168.210.140,LA
D:69,Tablet,Windows,192.168.174.17,NYC
D:70,Tablet,MacOS,192.168.28.86,NYC
D:71,Laptop,iOS,192.168.147.120,Chicago
D:72,Mobile,Android,192.168.132.251,Chicago
D:73,Tablet,iOS,192.168.23.77,Miami
D:74,Laptop,MacOS,192.168.230.175,LA
D:75,Laptop,iOS,192.168.220.168,Miami
D:76,Tablet,Windows,192.168.101.251,Chicago
D:77,Mobile,iOS,192.168.122.179,LA
D:78,Tablet,MacOS,192.168.4.73,Miami
D:79,Laptop,MacOS,192.168.228.101,LA
D:80,Laptop,Windows,192.168.147.96,LA
D:81,Laptop,Android,192.168.215.46,Miami
D:82,Tablet,MacOS,192.168.221.94,Chicago
D:83,Laptop,iOS,192.168.82.138,LA
D:84,Laptop,MacOS,192.168.245.196,Chicago
D:85,Laptop,Android,192.168.55.195,LA
D:86,Tablet,iOS,192.168.75.37,Miami
D:87,Tablet,MacOS,192.168.77.73,Miami
D:88,Mobile,Android,192.168.51.128,Miami
D:89,Mobile,Android,192.168.27.16,NYC
D:90,Laptop,MacOS,192.168.82.59,Chicago
D:91,Laptop,MacOS,192.168.198.151,Chicago
D:92,Tablet,Windows,192.168.63.88,Chicago
D:93,Laptop,iOS,192.168.21.180,LA
D:94,Laptop,Windows,192.168.15.117,NYC
D:95,Laptop,Windows,192.168.154.61,Miami
D:96,Tablet,MacOS,192.168.138.164,Miami
D:97,Mobile,Windows,192.168.155.220,Chicago
D:98,Mobile,Windows,192.168.113.94,Miami
D:99,Mobile,MacOS,192.168.26.131,LA
D:100,Tablet,Android,192.168.36.153,NYC
D:101,Laptop,MacOS,192.168.42.246,NYC
D:102,Laptop,iOS,192.168.234.140,LA
D:103,Laptop,iOS,192.168.53.106,LA
D:104,Laptop,iOS,192.168.152.64,NYC
D:105,Mobile,Windows,192.168.224.165,Chicago
D:106,Laptop,Windows,192.168.15.38,Chicago
D:107,Laptop,iOS,192.168.249.139,NYC
D:108,Mobile,Android,192.168.140.131,LA
D:109,Laptop,iOS,192.168.19.63,Miami
D:110,Tablet,iOS,192.168.243.242,LA
D:111,Laptop,MacOS,192.168.54.182,LA
D:112,Mobile,iOS,192.168.161.74,LA
D:113,Tablet,Android,192.168.50.3,Miami
D:114,Laptop,Android,192.168.71.196,NYC
D:115,Mobile,iOS,192.168.189.53,Chicago
D:116,Mobile,Windows,192.168.191.113,Miami
D:117,Laptop,Windows,192.168.246.207,NYC
D:118,Tablet,MacOS,192.168.79.177,NYC
D:119,Tablet,iOS,192.168.179.184,NYC
D:120,Tablet,Android,192.168.226.33,Chicago
D:121,Tablet,Android,192.168.158.177,LA
D:122,Tablet,iOS,192.168.95.30,Miami
D:123,Mobile,Android,192.168.153.143,Miami
D:124,Tablet,iOS,192.168.245.203,Miami
D:125,Laptop,iOS,192.168.26.165,Miami
D:126,Tablet,MacOS,192.168.184.38,Miami
D:127,Mobile,iOS,192.168.161.88,NYC
D:128,Mobile,Windows,192.168.62.34,Chicago
D:129,Mobile,Android,192.168.252.234,NYC
D:130,Mobile,Android,192.168.223.36,NYC
D:131,Laptop,Android,192.168.177.124,NYC
D:132,Laptop,Android,192.168.76.98,NYC
D:133,Tablet,MacOS,192.168.49.169,LA
D:134,Mobile,Windows,192.168.72.35,LA
D:135,Laptop,MacOS,192.168.1.118,Chicago
D:136,Laptop,Windows,192.168.111.103,Chicago
D:137,Tablet,iOS,192.168.168.86,Miami
D:138,Laptop,Windows,192.168.9.249,Miami
D:139,Laptop,Android,192.168.118.76,Chicago
D:140,Mobile,Windows,192.168.55.127,LA
D:141,Mobile,Android,192.168.92.49,Chicago
D:142,Tablet,Windows,192.168.212.4,LA
D:143,Laptop,Windows,192.168.127.111,Chicago
D:144,Laptop,MacOS,192.168.16.63,Chicago
D:145,Laptop,Android,192.168.197.96,Chicago
D:146,Tablet,Android,192.168.240.224,Miami
D:147,Mobile,iOS,192.168.34.45,Chicago
D:148,Mobile,iOS,192.168.229.141,Chicago
D:149,Laptop,Android,192.168.102.111,Miami
D:150,Mobile,iOS,192.168.76.188,Miami
D:151,Tablet,Android,192.168.1.91,LA
D:152,Tablet,Windows,192.168.55.210,NYC
D:153,Tablet,Android,192.168.4.28,Chicago
D:154,Tablet,MacOS,192.168.156.228,LA
D:155,Laptop,Android,192.168.222.188,LA
D:156,Laptop,iOS,192.168.29.10,NYC
D:157,Mobile,Android,192.168.213.251,Chicago
D:158,Laptop,iOS,192.168.50.14,LA
D:159,Tablet,MacOS,192.168.98.141,Miami
D:160,Mobile,Android,192.168.197.157,NYC
D:161,Tablet,MacOS,192.168.152.116,LA
D:162,Tablet,Windows,192.168.191.168,NYC
D:163,Tablet,MacOS,192.168.100.248,Miami
D:164,Tablet,Android,192.168.57.235,Chicago
D:165,Laptop,Android,192.168.107.254,Chicago
D:166,Tablet,Android,192.168.230.122,LA
D:167,Tablet,Windows,192.168.208.205,Chicago
D:168,Laptop,MacOS,192.168.243.206,Chicago
D:169,Tablet,Windows,192.168.122.117,Chicago
D:170,Laptop,Windows,192.168.97.184,NYC
D:171,Laptop,Android,192.168.177.210,NYC
D:172,Laptop,iOS,192.168.10.245,Chicago
D:173,Tablet,MacOS,192.168.57.14,NYC
D:174,Laptop,Android,192.168.238.125,Miami
D:175,Laptop,iOS,192.168.254.172,LA
D:176,Mobile,Android,192.168.36.144,Miami
D:177,Laptop,Android,192.168.250.223,Chicago
D:178,Mobile,Windows,192.168.196.107,Chicago
D:179,Tablet,MacOS,192.168.199.148,LA
D:180,Tablet,MacOS,192.168.92.142,LA
D:181,Laptop,MacOS,192.168.12.86,Chicago
D:182,Mobile,Windows,192.168.131.113,Chicago
D:183,Laptop,MacOS,192.168.151.134,Miami
D:184,Tablet,iOS,192.168.68.255,Miami
D:185,Tablet,MacOS,192.168.208.12,Miami
D:186,Tablet,MacOS,192.168.38.64,Chicago
D:187,Laptop,iOS,192.168.130.67,Miami
D:188,Tablet,Windows,192.168.210.167,Chicago
D:189,Laptop,MacOS,192.168.172.118,NYC
